
posicao: 0, cidades:
68200, 31, Tapiraí
67400, 31, Silvianópolis
66600, 31, Serra da Saudade
65800, 31, Senador José Bento
64100, 31, São Pedro do Suaçuí
63300, 31, São José do Divino
62575, 31, São João do Manteninha
62500, 31, São João del Rei
62450, 31, São João das Missões
61700, 31, São Gonçalo do Abaeté
61650, 31, São Geraldo do Baixio
60900, 31, São Brás do Suaçuí
59100, 31, Santana dos Montes
58300, 31, Santana da Vargem
57500, 31, Santa Efigênia de Minas
56700, 31, Sabará
55900, 31, Rio Preto
54200, 31, Resende Costa
54150, 31, Reduto
53400, 31, Presidente Olegário
52600, 31, Pouso Alto
51800, 31, Poços de Caldas
50000, 31, Pescador
49200, 31, Pedrinópolis
49150, 31, Pedras de Maria da Cruz
48400, 31, Paulistas
47600, 31, Passa Quatro
46750, 31, Palmópolis
45000, 31, Nova Ponte
44375, 31, Natalândia
44300, 31, Nanuque
43500, 31, Morada Nova de Minas
43450, 31, Montezuma
42700, 31, Montalvânia
41900, 31, Minduri
40100, 31, Marilac
39300, 31, Manga
39250, 31, Mamonas
38625, 31, Limeira do Oeste
38500, 31, Liberdade
37700, 31, Lajinha
36900, 31, Juruaia
35100, 31, Janaúba
35050, 31, Jaíba
34400, 31, Iturama
33600, 31, Itapeva
32800, 31, Itambé do Mato Dentro
31000, 31, Inhaúma
30200, 31, Igaratinga
29400, 31, Ibertioga
28600, 31, Guarda-Mor
27800, 31, Grão Mogol
26950, 31, Frei Lagonegro
26000, 31, Florestal
25200, 31, Fama
24500, 31, Estiva
23700, 31, Engenheiro Caldas
22900, 31, Dona Euzébia
21100, 31, Delfim Moreira
20300, 31, Cristália
19500, 31, Coronel Murta
18700, 31, Coqueiral
17900, 31, Congonhal
16100, 31, Chapada do Norte
15300, 31, Cataguases
14600, 31, Carrancas
14550, 31, Carneirinho
13800, 31, Carmésia
12000, 31, Candeias
11200, 31, Campo Belo
11150, 31, Campo Azul
10400, 31, Camacho
9600, 31, Cachoeira da Prata
8800, 31, Braúnas
7000, 31, Biquinhas
6200, 31, Belo Horizonte
5400, 31, Barão de Cocais
4700, 31, Ataléia
3900, 31, Araújos
2100, 31, Alto Rio Doce
2050, 31, Alto Caparaó
1300, 31, Alagoa
500, 31, Açucena
33000, 29, Valente
32200, 29, Ubaitaba
31400, 29, Teodoro Sampaio
31350, 29, Teixeira de Freitas
30600, 29, Serrolândia
29800, 29, Saúde
29750, 29, Saubara
28950, 29, São Domingos
28000, 29, Santaluz
27200, 29, Ruy Barbosa
26400, 29, Riacho de Santana
25600, 29, Presidente Dutra
24900, 29, Planaltino
23100, 29, Olindina
23050, 29, Novo Triunfo
22300, 29, Muritiba
22250, 29, Muquém do São Francisco
21500, 29, Monte Santo
21450, 29, Mirante
20700, 29, Maraú
19900, 29, Macururé
18100, 29, Jeremoabo
17300, 29, Ituberá
16500, 29, Itapicuru
15700, 29, Itamari
14000, 29, Ipirá
13200, 29, Ibotirama
12400, 29, Ibipeba
11600, 29, Governador Mangabeira
10800, 29, Feira de Santana
10750, 29, Fátima
9000, 29, Cordeiros
8200, 29, Conceição da Feira
7400, 29, Catolândia
6600, 29, Candiba
5800, 29, Camamu
4100, 29, Boquira
4050, 29, Bonito
3300, 29, Barro Preto
2500, 29, Baianópolis
1700, 29, Antônio Cardoso
900, 29, Almadina
7600, 28, Umbaúba
6800, 28, São Domingos
5000, 28, Pedra Mole
4300, 28, Muribeca
3500, 28, Lagarto
2700, 28, Ilha das Flores
1900, 28, Cumbe
100, 28, Amparo do São Francisco
9400, 27, Viçosa
8600, 27, São Miguel dos Campos
7800, 27, Roteiro
6000, 27, Olivença
5200, 27, Messias
4500, 27, Maragogi
3700, 27, Jaramataia
2900, 27, Girau do Ponciano
1100, 27, Branquinha
300, 27, Arapiraca
16100, 26, Verdejante
15300, 26, Timbaúba
14600, 26, Tabira
13800, 26, São Vicente Férrer
12000, 26, Sairé
11200, 26, Poção
10400, 26, Parnamirim
9600, 26, Olinda
8800, 26, Lajedo
8750, 26, Lagoa Grande
7950, 26, Jaqueira
7000, 26, Inajá
6200, 26, Goiana
5400, 26, Feira Nova
4700, 26, Correntes
3900, 26, Carnaíba
2100, 26, Bom Conselho
1300, 26, Barra de Guabiraba
500, 26, Águas Belas
17100, 25, Várzea
16300, 25, Sumé
15500, 25, Serra Branca
14800, 25, São José dos Cordeiros
13000, 25, Salgadinho
12200, 25, Prata
11400, 25, Picuí
10600, 25, Ouro Velho
9800, 25, Mulungu
8000, 25, Juru
7200, 25, Itatuba
6400, 25, Gurinhém
5600, 25, Diamante
4900, 25, Cruz do Espírito Santo
4850, 25, Coxixola
3100, 25, Cabaceiras
2300, 25, Bom Sucesso
1575, 25, Barra de Santana
1500, 25, Bananeiras
775, 25, Aparecida
700, 25, São João do Rio do Peixe
14100, 24, Tenente Ananias
13300, 24, Serra de São Bento
12500, 24, São Miguel
11700, 24, São Bento do Trairí
10900, 24, Riachuelo
9100, 24, Passa e Fica
8300, 24, Nova Cruz
7500, 24, Maxaranguape
6700, 24, Lajes
5900, 24, João Dias
4200, 24, Goianinha
3400, 24, Equador
2600, 24, Ceará-Mirim
1800, 24, Brejinho
13500, 23, Trairi
12700, 23, Senador Pompeu
11900, 23, Saboeiro
10100, 23, Palmácia
9300, 23, Nova Russas
8500, 23, Mombaça
7700, 23, Maranguape
7650, 23, Maracanaú
6900, 23, Jaguaribe
5100, 23, Guaramiranga
4400, 23, Fortaleza
4350, 23, Forquilha
3600, 23, Catarina
2800, 23, Canindé
1950, 23, Barreira
1000, 23, Aquiraz
200, 23, Acaraú
150, 23, Acarape
11100, 22, União
10375, 22, São Luis do Piauí
10300, 22, São Julião
9500, 22, Santo Inácio do Piauí
9450, 22, Santo Antônio dos Milagres
8700, 22, Redenção do Gurguéia
8650, 22, Queimada Nova
7900, 22, Pedro II
7850, 22, Pavussu
6100, 22, Matias Olímpio
6050, 22, Massapê do Piauí
5300, 22, Jerumenha
5250, 22, Jardim do Mulato
4600, 22, Hugo Napoleão
4550, 22, Guaribas
3800, 22, Flores do Piauí
3750, 22, Fartura do Piauí
2075, 22, Cajazeiras do Piauí
2000, 22, Buriti dos Lopes
1200, 22, Barras
1150, 22, Baixa Grande do Ribeiro
400, 22, Altos
12100, 21, Timbiras
11300, 21, São Luís
11250, 21, São José dos Basílios
10500, 21, São Bento
